2024-11-30 03:32:51,519 [modloading-worker-0] WARN treasure2 | TreasureLootTableRegistry.java:171 | unable to locate file in jar -> data/treasure2/loot_tables/injects
2024-11-30 03:33:08,473 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:spider_key by rarity -> SCARCE
2024-11-30 03:33:08,473 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:one_key by rarity -> MYTHICAL
2024-11-30 03:33:08,473 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:onyx_lock by rarity -> SCARCE
2024-11-30 03:33:08,473 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:spider_lock by rarity -> SCARCE
2024-11-30 03:33:08,474 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:emerald_lock by rarity -> RARE
2024-11-30 03:33:08,474 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:ruby_lock by rarity -> EPIC
2024-11-30 03:33:08,474 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:stone_lock by rarity -> COMMON
2024-11-30 03:33:08,474 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:leaf_lock by rarity -> UNCOMMON
2024-11-30 03:33:08,474 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:sapphire_lock by rarity -> EPIC
2024-11-30 03:33:08,474 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:diamond_lock by rarity -> RARE
2024-11-30 03:33:08,474 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:ember_lock by rarity -> SCARCE
2024-11-30 03:33:08,475 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:gold_lock by rarity -> SCARCE
2024-11-30 03:33:08,475 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:wood_lock by rarity -> COMMON
2024-11-30 03:33:08,475 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:iron_lock by rarity -> UNCOMMON
2024-11-30 03:33:08,475 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:topaz_lock by rarity -> SCARCE
2024-11-30 03:33:08,476 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:viking_chest by rarity -> UNCOMMON
2024-11-30 03:33:08,476 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:pirate_chest by rarity -> SCARCE
2024-11-30 03:33:08,476 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:safe by rarity -> RARE
2024-11-30 03:33:08,476 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:cauldron_chest by rarity -> EPIC
2024-11-30 03:33:08,477 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:crate_chest by rarity -> UNCOMMON
2024-11-30 03:33:08,477 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:crate_chest_moldy by rarity -> COMMON
2024-11-30 03:33:08,477 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:dread_pirate_chest by rarity -> EPIC
2024-11-30 03:33:08,477 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:spider_chest by rarity -> RARE
2024-11-30 03:33:08,477 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:ironbound_chest by rarity -> UNCOMMON
2024-11-30 03:33:08,477 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:skull_chest by rarity -> SKULL
2024-11-30 03:33:08,477 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:milk_crate by rarity -> COMMON
2024-11-30 03:33:08,478 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:gold_skull_chest by rarity -> GOLD_SKULL
2024-11-30 03:33:08,478 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:gold_strongbox by rarity -> RARE
2024-11-30 03:33:08,478 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:iron_strongbox by rarity -> SCARCE
2024-11-30 03:33:08,478 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:crystal_skull_chest by rarity -> CRYSTAL_SKULL
2024-11-30 03:33:08,478 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:wood_chest by rarity -> COMMON
2024-11-30 03:33:08,479 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:wither_chest by rarity -> WITHER
2024-11-30 03:33:08,479 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:compressor_chest by rarity -> EPIC
2024-11-30 03:33:08,479 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:cardboard_box by rarity -> COMMON
2024-11-30 03:33:08,480 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:onyx by rarity -> RARE
2024-11-30 03:33:08,480 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:ruby by rarity -> RARE
2024-11-30 03:33:08,480 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:white_pearl by rarity -> RARE
2024-11-30 03:33:08,480 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:sapphire by rarity -> EPIC
2024-11-30 03:33:08,480 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:black_pearl by rarity -> EPIC
2024-11-30 03:33:08,480 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:gold_coin by rarity -> SCARCE
2024-11-30 03:33:08,481 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:topaz by rarity -> SCARCE
2024-11-30 03:33:08,481 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> minecraft:diamond by rarity -> SCARCE
2024-11-30 03:33:08,481 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> minecraft:emerald by rarity -> SCARCE
2024-11-30 03:33:08,481 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:silver_coin by rarity -> UNCOMMON
2024-11-30 03:33:08,481 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:copper_coin by rarity -> COMMON
2024-11-30 03:33:14,570 [Server thread] INFO treasure2 | WorldEventHandler.java:62 | In world load event
2024-11-30 03:33:14,574 [Server thread] INFO treasure2 | WorldEventHandler.java:72 | In world load event for dimension minecraft:overworld
2024-11-30 03:33:43,294 [Server thread] INFO treasure2 | WorldEventHandler.java:62 | In world load event
2024-11-30 03:33:43,294 [Server thread] INFO treasure2 | WorldEventHandler.java:72 | In world load event for dimension minecraft:the_end
2024-11-30 03:33:43,296 [Server thread] INFO treasure2 | WorldEventHandler.java:62 | In world load event
2024-11-30 03:33:43,297 [Server thread] INFO treasure2 | WorldEventHandler.java:72 | In world load event for dimension minecraft:the_nether
2024-11-30 03:34:07,759 [Worker-Main-1] INFO treasure2 | WellGenerator.java:177 | CHEATER! Wishing Well at coords: 69 65 -11
2024-11-30 03:35:48,298 [Server thread] INFO treasure2 | AbstractTreasureChestBlock.java:157 | AbstractTreasureChestBlock | newBlockEntity | lockStates -> [LockState [slot=LockSlot [index=0, face=NORTH, xOffset=0.5, yOffset=0.3, zOffset=0.05, rotation=0.0], lockItem=null]]
2024-11-30 03:35:48,299 [Server thread] INFO treasure2 | AbstractTreasureChestBlock.java:158 | AbstractTreasureChestBlock | newBlockEntity | tileEntity -> mod.gottsch.forge.treasure2.core.block.entity.SpiderChestBlockEntity@6aed64ce @ BlockPos{x=-79, y=44, z=119}
2024-11-30 03:35:48,370 [Server thread] INFO treasure2 | PitChestFeatureGenerator.java:130 | CHEATER! RARE chest at coords: -73 76 119
2024-11-30 03:47:35,201 [modloading-worker-0] WARN treasure2 | TreasureLootTableRegistry.java:171 | unable to locate file in jar -> data/treasure2/loot_tables/injects
2024-11-30 03:47:56,002 [main] INFO treasure2 | TreasureTags.java:126 | in tags updated event
2024-11-30 03:47:56,003 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:stone_key by rarity -> COMMON
2024-11-30 03:47:56,003 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:leaf_key by rarity -> UNCOMMON
2024-11-30 03:47:56,003 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:gold_key by rarity -> SCARCE
2024-11-30 03:47:56,004 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:diamond_key by rarity -> RARE
2024-11-30 03:47:56,004 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:thiefs_lock_pick by rarity -> UNCOMMON
2024-11-30 03:47:56,004 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:ember_key by rarity -> SCARCE
2024-11-30 03:47:56,004 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:wood_key by rarity -> COMMON
2024-11-30 03:47:56,004 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:metallurgists_key by rarity -> RARE
2024-11-30 03:47:56,004 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:skeleton_key by rarity -> RARE
2024-11-30 03:47:56,005 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:jewelled_key by rarity -> EPIC
2024-11-30 03:47:56,005 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:ruby_key by rarity -> EPIC
2024-11-30 03:47:56,005 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:onyx_key by rarity -> SCARCE
2024-11-30 03:47:56,005 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:emerald_key by rarity -> RARE
2024-11-30 03:47:56,005 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:lightning_key by rarity -> SCARCE
2024-11-30 03:47:56,005 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:topaz_key by rarity -> SCARCE
2024-11-30 03:47:56,006 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:sapphire_key by rarity -> EPIC
2024-11-30 03:47:56,006 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:pilferers_lock_pick by rarity -> COMMON
2024-11-30 03:47:56,006 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:iron_key by rarity -> UNCOMMON
2024-11-30 03:47:56,006 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:wither_key by rarity -> RARE
2024-11-30 03:47:56,006 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:spider_key by rarity -> SCARCE
2024-11-30 03:47:56,006 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:one_key by rarity -> MYTHICAL
2024-11-30 03:47:56,007 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:onyx_lock by rarity -> SCARCE
2024-11-30 03:47:56,007 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:spider_lock by rarity -> SCARCE
2024-11-30 03:47:56,007 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:emerald_lock by rarity -> RARE
2024-11-30 03:47:56,007 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:ruby_lock by rarity -> EPIC
2024-11-30 03:47:56,007 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:stone_lock by rarity -> COMMON
2024-11-30 03:47:56,008 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:leaf_lock by rarity -> UNCOMMON
2024-11-30 03:47:56,008 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:sapphire_lock by rarity -> EPIC
2024-11-30 03:47:56,008 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:diamond_lock by rarity -> RARE
2024-11-30 03:47:56,008 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:ember_lock by rarity -> SCARCE
2024-11-30 03:47:56,008 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:gold_lock by rarity -> SCARCE
2024-11-30 03:47:56,008 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:wood_lock by rarity -> COMMON
2024-11-30 03:47:56,008 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:iron_lock by rarity -> UNCOMMON
2024-11-30 03:47:56,009 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:topaz_lock by rarity -> SCARCE
2024-11-30 03:47:56,009 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:viking_chest by rarity -> UNCOMMON
2024-11-30 03:47:56,009 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:pirate_chest by rarity -> SCARCE
2024-11-30 03:47:56,009 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:safe by rarity -> RARE
2024-11-30 03:47:56,010 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:cauldron_chest by rarity -> EPIC
2024-11-30 03:47:56,010 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:crate_chest by rarity -> UNCOMMON
2024-11-30 03:47:56,010 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:crate_chest_moldy by rarity -> COMMON
2024-11-30 03:47:56,010 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:dread_pirate_chest by rarity -> EPIC
2024-11-30 03:47:56,010 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:spider_chest by rarity -> RARE
2024-11-30 03:47:56,010 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:ironbound_chest by rarity -> UNCOMMON
2024-11-30 03:47:56,010 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:skull_chest by rarity -> SKULL
2024-11-30 03:47:56,011 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:milk_crate by rarity -> COMMON
2024-11-30 03:47:56,011 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:gold_skull_chest by rarity -> GOLD_SKULL
2024-11-30 03:47:56,011 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:gold_strongbox by rarity -> RARE
2024-11-30 03:47:56,011 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:iron_strongbox by rarity -> SCARCE
2024-11-30 03:47:56,011 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:crystal_skull_chest by rarity -> CRYSTAL_SKULL
2024-11-30 03:47:56,011 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:wood_chest by rarity -> COMMON
2024-11-30 03:47:56,011 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:wither_chest by rarity -> WITHER
2024-11-30 03:47:56,012 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:compressor_chest by rarity -> EPIC
2024-11-30 03:47:56,012 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:cardboard_box by rarity -> COMMON
2024-11-30 03:47:56,012 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:onyx by rarity -> RARE
2024-11-30 03:47:56,013 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:ruby by rarity -> RARE
2024-11-30 03:47:56,013 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:white_pearl by rarity -> RARE
2024-11-30 03:47:56,013 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:sapphire by rarity -> EPIC
2024-11-30 03:47:56,013 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:black_pearl by rarity -> EPIC
2024-11-30 03:47:56,013 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:gold_coin by rarity -> SCARCE
2024-11-30 03:47:56,014 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:topaz by rarity -> SCARCE
2024-11-30 03:47:56,014 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> minecraft:diamond by rarity -> SCARCE
2024-11-30 03:47:56,014 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> minecraft:emerald by rarity -> SCARCE
2024-11-30 03:47:56,014 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:silver_coin by rarity -> UNCOMMON
2024-11-30 03:47:56,014 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:copper_coin by rarity -> COMMON
2024-11-30 03:50:35,497 [modloading-worker-0] WARN treasure2 | TreasureLootTableRegistry.java:171 | unable to locate file in jar -> data/treasure2/loot_tables/injects
2024-11-30 03:50:51,644 [main] INFO treasure2 | TreasureTags.java:126 | in tags updated event
2024-11-30 03:50:51,645 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:stone_key by rarity -> COMMON
2024-11-30 03:50:51,645 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:leaf_key by rarity -> UNCOMMON
2024-11-30 03:50:51,645 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:gold_key by rarity -> SCARCE
2024-11-30 03:50:51,646 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:diamond_key by rarity -> RARE
2024-11-30 03:50:51,646 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:thiefs_lock_pick by rarity -> UNCOMMON
2024-11-30 03:50:51,646 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:ember_key by rarity -> SCARCE
2024-11-30 03:50:51,646 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:wood_key by rarity -> COMMON
2024-11-30 03:50:51,646 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:metallurgists_key by rarity -> RARE
2024-11-30 03:50:51,647 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:skeleton_key by rarity -> RARE
2024-11-30 03:50:51,647 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:jewelled_key by rarity -> EPIC
2024-11-30 03:50:51,648 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:ruby_key by rarity -> EPIC
2024-11-30 03:50:51,648 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:onyx_key by rarity -> SCARCE
2024-11-30 03:50:51,648 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:emerald_key by rarity -> RARE
2024-11-30 03:50:51,648 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:lightning_key by rarity -> SCARCE
2024-11-30 03:50:51,649 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:topaz_key by rarity -> SCARCE
2024-11-30 03:50:51,649 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:sapphire_key by rarity -> EPIC
2024-11-30 03:50:51,649 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:pilferers_lock_pick by rarity -> COMMON
2024-11-30 03:50:51,649 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:iron_key by rarity -> UNCOMMON
2024-11-30 03:50:51,650 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:wither_key by rarity -> RARE
2024-11-30 03:50:51,650 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:spider_key by rarity -> SCARCE
2024-11-30 03:50:51,650 [main] INFO treasure2 | TreasureTags.java:142 | registering key -> treasure2:one_key by rarity -> MYTHICAL
2024-11-30 03:50:51,650 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:onyx_lock by rarity -> SCARCE
2024-11-30 03:50:51,650 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:spider_lock by rarity -> SCARCE
2024-11-30 03:50:51,651 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:emerald_lock by rarity -> RARE
2024-11-30 03:50:51,651 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:ruby_lock by rarity -> EPIC
2024-11-30 03:50:51,651 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:stone_lock by rarity -> COMMON
2024-11-30 03:50:51,651 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:leaf_lock by rarity -> UNCOMMON
2024-11-30 03:50:51,651 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:sapphire_lock by rarity -> EPIC
2024-11-30 03:50:51,652 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:diamond_lock by rarity -> RARE
2024-11-30 03:50:51,652 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:ember_lock by rarity -> SCARCE
2024-11-30 03:50:51,652 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:gold_lock by rarity -> SCARCE
2024-11-30 03:50:51,652 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:wood_lock by rarity -> COMMON
2024-11-30 03:50:51,652 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:iron_lock by rarity -> UNCOMMON
2024-11-30 03:50:51,653 [main] INFO treasure2 | TreasureTags.java:157 | registering lock -> treasure2:topaz_lock by rarity -> SCARCE
2024-11-30 03:50:51,653 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:viking_chest by rarity -> UNCOMMON
2024-11-30 03:50:51,653 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:pirate_chest by rarity -> SCARCE
2024-11-30 03:50:51,654 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:safe by rarity -> RARE
2024-11-30 03:50:51,654 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:cauldron_chest by rarity -> EPIC
2024-11-30 03:50:51,654 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:crate_chest by rarity -> UNCOMMON
2024-11-30 03:50:51,654 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:crate_chest_moldy by rarity -> COMMON
2024-11-30 03:50:51,654 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:dread_pirate_chest by rarity -> EPIC
2024-11-30 03:50:51,655 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:spider_chest by rarity -> RARE
2024-11-30 03:50:51,655 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:ironbound_chest by rarity -> UNCOMMON
2024-11-30 03:50:51,655 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:skull_chest by rarity -> SKULL
2024-11-30 03:50:51,655 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:milk_crate by rarity -> COMMON
2024-11-30 03:50:51,655 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:gold_skull_chest by rarity -> GOLD_SKULL
2024-11-30 03:50:51,655 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:gold_strongbox by rarity -> RARE
2024-11-30 03:50:51,656 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:iron_strongbox by rarity -> SCARCE
2024-11-30 03:50:51,656 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:crystal_skull_chest by rarity -> CRYSTAL_SKULL
2024-11-30 03:50:51,656 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:wood_chest by rarity -> COMMON
2024-11-30 03:50:51,656 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:wither_chest by rarity -> WITHER
2024-11-30 03:50:51,656 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:compressor_chest by rarity -> EPIC
2024-11-30 03:50:51,657 [main] INFO treasure2 | TreasureTags.java:174 | registering chest -> treasure2:cardboard_box by rarity -> COMMON
2024-11-30 03:50:51,657 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:onyx by rarity -> RARE
2024-11-30 03:50:51,657 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:ruby by rarity -> RARE
2024-11-30 03:50:51,658 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:white_pearl by rarity -> RARE
2024-11-30 03:50:51,658 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:sapphire by rarity -> EPIC
2024-11-30 03:50:51,658 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:black_pearl by rarity -> EPIC
2024-11-30 03:50:51,658 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:gold_coin by rarity -> SCARCE
2024-11-30 03:50:51,659 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> treasure2:topaz by rarity -> SCARCE
2024-11-30 03:50:51,659 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> minecraft:diamond by rarity -> SCARCE
2024-11-30 03:50:51,659 [main] INFO treasure2 | TreasureTags.java:191 | registering wishable -> minecraft:emerald by rarity -> SCARCE
